#Time(s) Cwnd(bytes) Context
1.20463 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22069 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.22269 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.23071 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.27284 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2889 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.2909 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.29892 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.34105 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35711 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.35911 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.36713 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.40926 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.42532 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.42731 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.43534 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.47747 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.49353 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.49552 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.50355 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.54568 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.56174 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.56373 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.57176 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.61389 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.62995 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.63194 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.63997 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.6821 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.69816 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.70015 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.70818 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.75031 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.76637 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.76836 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.77639 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.81852 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83458 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.83657 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.8446 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.88673 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.90278 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.90478 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.91281 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.95494 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.97099 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.97299 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
1.98102 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.02315 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.0392 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.0412 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.04923 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.09136 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.10741 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.10941 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.11744 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.15957 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.17562 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.17762 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.18565 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.22778 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.24383 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.24583 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.25386 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.29599 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.31204 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.31404 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.32207 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.3642 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.39028 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.39028 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.3983 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.44043 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.45649 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.45849 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.46651 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.50864 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.5247 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.5267 2880 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.53472 4320 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
2.57685 5760 /NodeList/0/$ns3::TcpL4Protocol/SocketList/0/CongestionWindow
